city,createTime,companyFullName,district,positionName,salary
深圳,2017/9/27 11:58,冬竞投资有限公司深圳分公司,南山区,Python开发工程师,15k-30k
深圳,2017/9/27 20:01,深圳众禄金融控股股份有限公司,罗湖区,Python开发工程师,18k-25k
深圳,2017/9/27 15:53,福瑞博德软件开发（深圳）有限公司,南山区,Python开发工程师,15k-20k
深圳,2017/9/28 9:31,斯坦德机器人（深圳）有限公司,宝安区,python开发工程师,10k-16k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,Python,15k-30k
深圳,2017/9/27 9:43,深圳市五一五游戏网络有限公司,南山区,Python,20k-30k
深圳,2017/9/27 16:22,深圳触云科技有限公司,南山区,Python工程师,8k-15k
深圳,2017/9/27 11:44,深圳市阿西莫夫科技有限公司,南山区,Python开发-服务端开发,10k-20k
深圳,2017/9/27 9:06,广州赛意信息科技股份有限公司,龙华新区,python工程师,15k-25k
深圳,2017/9/27 10:13,上海航仕企业管理有限公司,南山区,Python开发,20k-35k
深圳,2017/9/27 9:11,深圳市南方网通网络技术开发有限公司,南山区,Python工程师,10k-20k
深圳,2017/9/27 17:52,深圳市出众网络有限公司,南山区,Python工程师,15k-25k
深圳,2017/9/27 9:47,上海奥飞游戏有限公司,南山区,Python开发工程师,10k-15k
深圳,2017/9/27 8:46,深圳市紫川软件有限公司,福田区,Python工程师,9k-15k
深圳,2017/9/28 9:10,飞马大宗投资有限公司,福田区,Python开发工程师,15k-20k
深圳,2017/9/27 11:58,冬竞投资有限公司深圳分公司,南山区,Python开发工程师（高级）,30k-50k
深圳,2017/9/26 8:50,深圳众禄金融控股股份有限公司,罗湖区,python工程师,18k-25k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,Python,15k-30k
深圳,2017/9/27 9:35,福瑞博德软件开发（深圳）有限公司,南山区,Python,16k-20k
深圳,2017/9/27 11:22,北京国双科技有限公司,福田区,高级Python开发工程师,12k-24k
深圳,2017/9/11 9:47,广东欧珀移动通信有限公司,南山区,Python工程师（运维平台）,15k-30k
深圳,2017/9/28 9:10,文思海辉技术有限公司,福田区,Python开发工程师,13k-25k
深圳,2017/9/27 12:04,深圳市青柏信息科技有限公司,南山区,Python研发工程师,10k-15k
深圳,2017/9/27 14:06,平安科技（深圳）有限公司,福田区,Python开发工程师（深圳）,15k-30k
深圳,2017/9/20 10:56,深圳花果山科技有限公司,南山区,Python,5k-8k
深圳,2017/9/27 10:16,深圳市和讯华谷信息技术有限公司,南山区,高级Python开发工程师,15k-25k
深圳,2017/9/27 10:04,中国都会控股集团有限公司,南山区,Python开发工程师,7k-10k
深圳,2017/9/27 11:09,心灵失重（北京）科技有限公司,南山区,Python,15k-30k
深圳,2017/9/27 9:11,深圳市南方网通网络技术开发有限公司,南山区,Python AI工程师,20k-25k
深圳,2017/9/26 9:34,深圳优克云联科技有限公司,南山区,python开发工程师,10k-15k
深圳,2017/9/25 11:16,深圳众禄金融控股股份有限公司,罗湖区,Python开发工程师,18k-25k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,python高级开发工程师,15k-30k
深圳,2017/9/25 16:20,福瑞博德软件开发（深圳）有限公司,南山区,Python工程师（外包-南山科技园）,10k-20k
深圳,2017/9/27 11:23,北京国双科技有限公司,福田区,资深python开发工程师,15k-30k
深圳,2017/9/26 20:20,深圳开黑科技有限公司,南山区,Python研发工程师,10k-20k
深圳,2017/9/27 14:26,深圳市易讯天空网络技术有限公司,龙岗区,Python开发工程师,10k-18k
深圳,2017/9/26 11:43,深圳市新华云帆科技有限公司,南山区,python开发工程师,12k-20k
深圳,2017/9/27 21:37,乐格商业咨询（深圳）有限公司,福田区,Python高级开发工程师,16k-30k
深圳,2017/9/25 9:49,深圳市小闪快送网络科技有限公司,南山区,Python,15k-30k
深圳,2017/9/25 9:21,深圳贝尔创意科教有限公司,南山区,Python 开发工程师,15k-30k
深圳,2017/9/26 9:29,深圳晶泰科技有限公司,福田区,高级Python开发工程师,15k-23k
深圳,2017/9/18 10:12,深圳米筐科技有限公司,南山区,Python工程师,8k-13k
深圳,2017/9/27 13:26,智言科技(深圳)有限公司,南山区,python开发工程师,10k-20k
深圳,2017/9/28 9:15,深圳市明源云客电子商务有限公司,南山区,Python（高级&amp;资深&amp;leader）,18k-35k
深圳,2017/9/27 12:02,深圳码隆科技有限公司,盐田区,高级Python开发工程师 (深圳),20k-40k
深圳,2017/9/26 8:50,深圳众禄金融控股股份有限公司,罗湖区,Python开发工程师,18k-25k
深圳,2017/9/27 10:17,深圳市乐易网络有限公司,南山区,python开发工程师,10k-15k
深圳,2017/9/27 11:22,北京国双科技有限公司,福田区,高级python开发工程师,13k-25k
深圳,2017/9/21 9:47,福瑞博德软件开发（深圳）有限公司,南山区,Python 开发工程师,16k-20k
深圳,2017/9/26 20:20,深圳开黑科技有限公司,南山区,高级Python研发工程师,13k-25k
深圳,2017/9/18 10:12,深圳米筐科技有限公司,南山区,资深Python工程师,20k-28k
深圳,2017/9/25 9:12,深圳瀚德金融控股有限公司,南山区,Python／PHP 语言开发工程师-YL,15k-20k
深圳,2017/9/25 9:54,腾讯科技(深圳)有限公司,南山区,HY2-监控系统开发工程师-Python（深圳）,18k-30k
深圳,2017/9/19 14:51,五谷磨房食品集团有限公司,南山区,软件开发工程师（Python方向）,8k-15k
深圳,2017/9/26 9:53,深圳市雁联计算系统有限公司,福田区,初中级Python工程师,10k-15k
深圳,2017/9/28 9:16,厦门笨鸟电子商务有限公司,南山区,python工程师,15k-30k
深圳,2017/9/26 17:21,深圳博看辰思科技有限公司,宝安区,python开发工程师,8k-12k
深圳,2017/8/28 12:21,深圳市易博天下科技有限公司,南山区,Python开发工程师,11k-20k
深圳,2017/9/27 11:00,深圳小步网络科技有限公司,宝安区,Python后台开发工程师,15k-25k
深圳,2017/9/7 9:38,深圳市猎芯科技有限公司,龙岗区,Python工程师,15k-29k
深圳,2017/9/25 9:54,腾讯科技(深圳)有限公司,南山区,监控系统开发工程师-Python,18k-30k
深圳,2017/9/25 15:46,北京国双科技有限公司,福田区,机器学习工程师（Python）-深圳,15k-25k
深圳,2017/9/18 9:47,福瑞博德软件开发（深圳）有限公司,南山区,中高级Python开发工程师,15k-20k
深圳,2017/9/7 9:38,深圳市猎芯科技有限公司,龙岗区,Python开发工程师,15k-29k
深圳,2017/9/27 10:18,深圳市杉岩数据技术有限公司,南山区,Python开发工程师,12k-24k
深圳,2017/9/27 14:30,广州优融网络科技有限责任公司,南山区,Python开发工程师,15k-25k
深圳,2017/8/29 10:22,深圳前海融数通科技有限公司,南山区,Python开发,9k-16k
深圳,2017/9/27 9:36,深圳市东方博雅科技有限公司,南山区,python开发工程师,10k-20k
深圳,2017/9/27 10:02,深圳市阿西莫夫科技有限公司,南山区,Python/ C++开发－服务机器人应用程序,15k-25k
深圳,2017/9/26 9:29,深圳晶泰科技有限公司,福田区,Python 算法工程师,18k-30k
深圳,2017/9/18 9:29,深圳狗尾草智能科技有限公司,南山区,高级Python开发工程师,15k-30k
深圳,2017/9/26 9:40,顺丰科技有限公司,南山区,python后台开发工程师,15k-30k
深圳,2017/9/7 11:39,深圳市中科普瑞基因科技有限公司,罗湖区,Python开发工程师,13k-20k
深圳,2017/8/28 12:21,深圳市易博天下科技有限公司,南山区,资深Python开发工程师,15k-25k
深圳,2017/9/14 14:04,广东管车所资产管理有限公司,福田区,Python开发工程师,8k-15k
深圳,2017/9/25 9:54,腾讯科技(深圳)有限公司,南山区,云平台高级开发工程师-Python,18k-30k
深圳,2017/9/25 9:59,深圳市富士智能系统有限公司,南山区,python开发工程师,10k-15k
深圳,2017/9/25 10:42,深圳市百高汇科技发展有限公司,龙岗区,高级 Python 研发工程师,15k-30k
深圳,2017/9/26 10:44,深圳市编玩边学教育科技有限公司,南山区,代码编程老师（Python）,7k-14k
深圳,2017/9/25 10:35,深圳市瑞驰信息技术有限公司,南山区,python开发工程师,6k-12k
深圳,2017/9/25 16:47,深圳创景世界科技有限公司,南山区,C/python工程师,7k-14k
深圳,2017/9/25 14:47,深圳网脊科技开发有限公司,南山区,python高级开发工程师,15k-20k
深圳,2017/9/27 10:40,深圳市华傲数据技术有限公司,南山区,python高级开发工程师,15k-30k
深圳,2017/9/25 9:19,上海胜日信息科技有限公司,南山区,python开发工程师,15k-20k
深圳,2017/9/22 20:57,岩心科技（深圳）有限公司,南山区,Python后台开发/数据平台/Senior,15k-30k
深圳,2017/9/22 9:10,云之道（深圳）信息技术有限公司,南山区,Python工程师,10K-15K
深圳,2017/9/21 10:41,傲讯全通科技（深圳）有限公司,福田区,Python,6k-10k
深圳,2017/9/25 15:03,深圳华策辉弘科技有限公司,福田区,Python开发工程师,15k-20k
深圳,2017/9/11 9:47,广东欧珀移动通信有限公司,,Python测试开发工程师,15k-30k
深圳,2017/8/31 15:54,万科物业发展有限公司,福田区,高级Python开发,20k-30k
深圳,2017/9/21 11:21,腾讯科技(深圳)有限公司,南山区,python后台开发工程师,15k-30k
深圳,2017/9/22 20:57,岩心科技（深圳）有限公司,南山区,高级Python工程师/面向对象高级Python工,15k-30k
深圳,2017/9/19 13:38,深圳市贤利智科技有限公司,南山区,高级运维开发工程师(Python),15k-25k
深圳,2017/9/21 15:53,北京千锋互联科技有限公司,宝安区,Python讲师,15k-30k
深圳,2017/9/21 15:33,深圳市卓泰居网络科技有限公司,南山区,资深JAVA/Python程序员,18k-25k
深圳,2017/9/28 9:25,深圳市对酒当歌科技有限公司,宝安区,python开发工程师,10k-20k
深圳,2017/9/25 9:18,深圳微自然创新科技有限公司,宝安区,Java研发工程师／Python研发工程师,10k-16k
深圳,2017/9/25 16:35,深圳市中企工联保家电服务有限公司,龙岗区,Python 工程师,5k-10k
深圳,2017/9/25 10:42,深圳市百高汇科技发展有限公司,龙岗区,Python 研发工程师,8k-16k
深圳,2017/9/26 11:31,深圳市一面网络技术有限公司,南山区,Python工程师（数据平台）,15k-30k
深圳,2017/9/25 9:57,深圳数睿广告科技有限公司,,Python开发工程师,10k-15k
深圳,2017/9/21 11:11,广东安创信息科技开发有限公司,南山区,Python后端开发工程师,6k-10k
深圳,2017/9/6 18:43,深圳市蓝泰源信息技术股份有限公司,南山区,Python开发工程师,10k-15k
深圳,2017/9/25 14:47,深圳网脊科技开发有限公司,南山区,python开发工程师,14k-18k
深圳,2017/9/23 12:29,深圳众米网络科技有限公司,宝安区,python工程师,13k-25k
深圳,2017/9/25 9:54,腾讯科技(深圳)有限公司,南山区,HY2-python后台开发工程师（深圳）,18k-30k
深圳,2017/9/26 14:25,首汇焦点（北京）科技有限公司,南山区,Python 软件开发工程师,10k-20k
深圳,2017/9/27 9:50,深圳市必易网络科技有限公司,福田区,Node/Java/PHP/Python后端工程师,10k-20k
深圳,2017/9/26 11:19,深圳市百答科技有限公司,南山区,Python开发工程师,7k-14k
深圳,2017/9/25 10:25,深圳市正易龙科技有限公司,南山区,PYTHON开发工程师（游戏服务端),10k-20k
深圳,2017/9/26 11:49,深圳市前海源伞科技有限公司,南山区,Python研发工程师,13k-26k
深圳,2017/9/25 13:47,广东粤数大数据有限公司,南山区,Python开发工程师,12k-20k
深圳,2017/9/27 9:01,深圳市泽林信息咨询有限公司,南山区,Python高级DevOps工程师,18k-30k
深圳,2017/9/26 14:52,深圳中软泰达科技有限公司,福田区,Python开发工程师,8K-15K
深圳,2017/9/26 11:58,深圳市和美信息技术有限公司,南山区,Python软件工程师,15k-25k
深圳,2017/9/27 11:45,江西省互乐科技有限公司,宝安区,游戏后端（python）,8k-12k
深圳,2017/8/30 12:21,深圳市聚才智咨询管理有限公司,福田区,Python开发工程师,10K-20K
深圳,2017/9/18 14:09,深圳波罗创意科教有限公司,南山区,Python工程师,8k-15k
深圳,2017/9/25 9:46,深圳市找库科技有限公司,南山区,python开发,8k-16k
深圳,2017/9/24 17:36,深圳市鑫鼎顺科技有限公司,龙华新区,PYTHON讲师,8K-15K
深圳,2017/9/20 11:25,武汉佰钧成技术有限责任公司,宝安区,Python,15k-30k
深圳,2017/9/12 10:38,广发证券股份有限公司,南山区,高级量化交易系统开发工程师 (Python),25k-45k
深圳,2017/9/21 15:33,深圳市卓泰居网络科技有限公司,南山区,python/django,10K-18K
深圳,2017/9/14 8:12,浪潮通用软件有限公司深圳研发中心,南山区,python开发工程师,11k-18k
深圳,2017/9/25 10:44,杭州洽豪科技有限公司,南山区,Python ，Django工程师,11k-20k
深圳,2017/9/20 10:49,深圳市泰信通信息技术有限公司,龙华新区,python开发工程师,9k-15k
深圳,2017/9/4 22:13,深圳爱聚印科技有限公司,,Python开发工程师,7k-12k
深圳,2017/9/13 17:29,深圳网脊科技开发有限公司,南山区,Python开发工程师,10k-15k
深圳,2017/8/28 10:30,宝德科技股份有限公司,龙华新区,python工程师,9K-15K
深圳,2017/9/21 19:40,深圳市惠群商业数据技术有限公司,南山区,Python开发运维工程师,7k-14k
深圳,2017/9/18 14:09,深圳波罗创意科教有限公司,南山区,高级Python后台开发工程师,15k-25k
深圳,2017/9/11 20:06,深圳前海九慧金服科技有限公司,福田区,Python工程师,8k-15k
深圳,2017/9/25 15:03,深圳华策辉弘科技有限公司,福田区,Python AI 高级工程师,15k-20k
深圳,2017/9/28 9:32,深圳市点趣网络技术有限公司,宝安区,Python助理开发工程师,5k-8k
深圳,2017/8/29 17:04,深圳市龙数信息技术有限公司,南山区,Python开发工程师,6k-12k
